duplicate_type,original_id,original_name,original_source,duplicate_name,duplicate_source,signature
EXACT_DUPLICATE,2ccde7f8-cf6a-43e3-83fd-317cc5667df4,"RFAZET","Page 469, Row 2","Rfazet","Page 469, Row 3","rfazet|tablet|500 mg|20|rfa|Yemen"
EXACT_DUPLICATE,7d3ea001-a1eb-4aaf-888c-8192f982dd51,"Sedalac","Page 485, Row 2","Sedalac","Page 485, Row 4","sedalac|syrup|NO_STR|120|sedico|Egypt"
EXACT_DUPLICATE,e9ea2265-4f8c-4060-83f8-81702a47dfd7,"Serocip - 25","Page 489, Row 5","Serocip - 25","Page 489, Row 6","serocip 25|tablet|25 mg|10|cipla|India"
EXACT_DUPLICATE,315cdd0d-9d72-4c51-8246-934b4aff5b7e,"Solcoseryl","Page 500, Row 7","Solcoseryl","Page 501, Row 3","solcoseryl|ointment|NO_STR|20|meda|Unknown"
EXACT_DUPLICATE,e5b8d88d-cff0-47a5-850f-2b2bb7a93130,"Tegretol 200","Page 522, Row 3","Tegretol 200","Page 522, Row 4","tegretol 200|tablet|NO_STR|50|unknown|Unknown"
EXACT_DUPLICATE,9a410fa8-876d-44ce-8275-562bd2270727,"Tenormin ??","Page 524, Row 3","tenormin ???","Page 524, Row 4","tenormin|tablet|NO_STR|28|astrazenec a|Unknown"
EXACT_DUPLICATE,1503fc16-cce7-46ac-8805-dd3ade9dd784,"Tullin-D","Page 539, Row 4","TULLIN-D","Page 539, Row 5","tullin d|capsule|NO_STR|20|asia|Syria"
EXACT_DUPLICATE,4ed72202-5bc4-489d-8b5b-873e44499f20,"Vagi-Atheer","Page 548, Row 4","Vagi-Atheer","Page 548, Row 5","vagi atheer|syrup|NO_STR|200|atheer|Yemen"
EXACT_DUPLICATE,1015b5c3-3f4b-41d3-8cff-1cd988de29ea,"Ventolin","Page 552, Row 4","Ventolin","Page 552, Row 5","ventolin|tablet|2 mg|100|gsk glaxosmithkline|UK"
EXACT_DUPLICATE,b4e0eef4-f9a7-46a2-808e-4c7ba670edf8,"Vomin","Page 566, Row 4","VOMIN","Page 566, Row 5","vomin|tablet|25 mg|20|modern pharama|Yemen"
